system:time_start,sst
"Jun 5, 2018",
"Jun 6, 2018",28.54
"Jun 7, 2018",28.6
"Jun 8, 2018",
"Jun 9, 2018",
"Jun 10, 2018",
"Jun 11, 2018",27.935
"Jun 12, 2018",
"Jun 13, 2018",
"Jun 14, 2018",28.975
"Jun 15, 2018",29.33
"Jun 16, 2018",
"Jun 17, 2018",
"Jun 18, 2018",28.335
"Jun 19, 2018",
"Jun 20, 2018",
"Jun 21, 2018",
"Jun 22, 2018",
"Jun 23, 2018",27.495
"Jun 24, 2018",
"Jun 25, 2018",
"Jun 26, 2018",
"Jun 27, 2018",
"Jun 28, 2018",
"Jun 29, 2018",
"Jun 30, 2018",28.195
"Jul 1, 2018",
"Jul 2, 2018",
"Jul 3, 2018",
"Jul 4, 2018",
"Jul 5, 2018",
"Jul 6, 2018",27.8
"Jul 7, 2018",
"Jul 8, 2018",26.65
"Jul 9, 2018",
"Jul 10, 2018",
"Jul 11, 2018",26.89
"Jul 12, 2018",
"Jul 13, 2018",
"Jul 14, 2018",
"Jul 15, 2018",28.29
"Jul 16, 2018",
"Jul 17, 2018",28.57
"Jul 18, 2018",28.435
"Jul 19, 2018",
"Jul 20, 2018",
"Jul 21, 2018",
"Jul 22, 2018",27.895
"Jul 23, 2018",
"Jul 24, 2018",27.54
"Jul 25, 2018",
"Jul 26, 2018",27.535
"Jul 27, 2018",27.91
"Jul 28, 2018",
"Jul 29, 2018",27.485
"Jul 30, 2018",
"Jul 31, 2018",28.1
"Aug 1, 2018",27.365
"Aug 2, 2018",27.68
"Aug 3, 2018",28.715
"Aug 4, 2018",27.505
"Aug 5, 2018",28.085
"Aug 6, 2018",28.095
"Aug 7, 2018",27.67
"Aug 8, 2018",
"Aug 9, 2018",
"Aug 10, 2018",
"Aug 11, 2018",28.385
"Aug 12, 2018",
"Aug 13, 2018",
"Aug 14, 2018",27.85
"Aug 15, 2018",
"Aug 16, 2018",
"Aug 17, 2018",
"Aug 18, 2018",27.57
"Aug 19, 2018",28.07
"Aug 20, 2018",27.975
"Aug 21, 2018",27.835
"Aug 22, 2018",28.845
"Aug 23, 2018",27.89
"Aug 24, 2018",
"Aug 25, 2018",28.19
"Aug 26, 2018",28.155
"Aug 27, 2018",
"Aug 28, 2018",27.26
"Aug 29, 2018",
"Aug 30, 2018",
"Aug 31, 2018",
"Sep 1, 2018",
"Sep 2, 2018",
"Sep 3, 2018",28.45
"Sep 4, 2018",
"Sep 5, 2018",
"Sep 6, 2018",
"Sep 7, 2018",30.11
"Sep 8, 2018",27.75
"Sep 9, 2018",
"Sep 10, 2018",
"Sep 11, 2018",
"Sep 12, 2018",28.12
"Sep 13, 2018",27.62
"Sep 14, 2018",28.06
"Sep 15, 2018",28.185
"Sep 16, 2018",
"Sep 17, 2018",27.63
"Sep 18, 2018",
"Sep 19, 2018",28.325
"Sep 20, 2018",28.395
"Sep 21, 2018",27.9
"Sep 22, 2018",28.015
"Sep 23, 2018",
"Sep 24, 2018",
"Sep 25, 2018",
"Sep 26, 2018",28.165
"Sep 27, 2018",28.36
"Sep 28, 2018",28.255
"Sep 29, 2018",28.095
"Sep 30, 2018",27.395
"Oct 1, 2018",27.87
"Oct 2, 2018",
"Oct 3, 2018",28.13
"Oct 4, 2018",
"Oct 5, 2018",28.415
"Oct 6, 2018",27.89
"Oct 7, 2018",28.73
"Oct 8, 2018",
"Oct 9, 2018",
"Oct 10, 2018",27.925
"Oct 11, 2018",
"Oct 12, 2018",28.075
"Oct 13, 2018",
"Oct 14, 2018",29.93
"Oct 15, 2018",29.045
"Oct 16, 2018",
"Oct 17, 2018",
"Oct 18, 2018",
"Oct 19, 2018",28.645
"Oct 20, 2018",29.29
"Oct 21, 2018",29.455
"Oct 22, 2018",
"Oct 23, 2018",
"Oct 24, 2018",30.715
"Oct 25, 2018",
"Oct 26, 2018",27.61
"Oct 27, 2018",
"Oct 28, 2018",29.16
"Oct 29, 2018",28.57
"Oct 30, 2018",
"Oct 31, 2018",28.87
"Nov 1, 2018",
"Nov 2, 2018",29.015
"Nov 3, 2018",
"Nov 4, 2018",
"Nov 5, 2018",30.575
"Nov 6, 2018",31.015
"Nov 7, 2018",29.44
"Nov 8, 2018",
"Nov 9, 2018",
"Nov 10, 2018",
"Nov 11, 2018",29.66
"Nov 12, 2018",
"Nov 13, 2018",29.695
"Nov 14, 2018",
"Nov 15, 2018",
"Nov 16, 2018",30.725
"Nov 17, 2018",29.76
"Nov 18, 2018",30.36
"Nov 19, 2018",
"Nov 20, 2018",31.07
"Nov 21, 2018",
"Nov 22, 2018",
"Nov 23, 2018",
"Nov 24, 2018",
"Nov 25, 2018",
"Nov 26, 2018",
"Nov 27, 2018",
"Nov 28, 2018",
"Nov 29, 2018",
"Nov 30, 2018",
"Dec 1, 2018",
"Dec 2, 2018",
"Dec 3, 2018",29.105
"Dec 4, 2018",
"Dec 5, 2018",
"Dec 6, 2018",31.55
"Dec 7, 2018",30.445
"Dec 8, 2018",
"Dec 9, 2018",28.39
"Dec 10, 2018",30.86
"Dec 11, 2018",
"Dec 12, 2018",
"Dec 13, 2018",
"Dec 14, 2018",
"Dec 15, 2018",
"Dec 16, 2018",
"Dec 17, 2018",
"Dec 18, 2018",
"Dec 19, 2018",
"Dec 20, 2018",
"Dec 21, 2018",
"Dec 22, 2018",
"Dec 23, 2018",
"Dec 24, 2018",
"Dec 25, 2018",
"Dec 26, 2018",
"Dec 27, 2018",29.255
"Dec 28, 2018",
"Dec 29, 2018",
"Dec 30, 2018",
"Dec 31, 2018",
"Jan 1, 2019",
"Jan 2, 2019",
"Jan 3, 2019",
"Jan 4, 2019",
"Jan 5, 2019",30.07
"Jan 6, 2019",
"Jan 7, 2019",30.535
"Jan 8, 2019",29.74
"Jan 9, 2019",
"Jan 10, 2019",
"Jan 11, 2019",30.26
"Jan 12, 2019",
"Jan 13, 2019",
"Jan 14, 2019",
"Jan 15, 2019",
"Jan 16, 2019",
"Jan 17, 2019",
"Jan 18, 2019",
"Jan 19, 2019",
"Jan 20, 2019",
"Jan 21, 2019",
"Jan 22, 2019",
"Jan 23, 2019",
"Jan 24, 2019",
"Jan 25, 2019",
"Jan 26, 2019",
"Jan 27, 2019",
"Jan 28, 2019",
"Jan 29, 2019",
"Jan 30, 2019",
"Jan 31, 2019",
"Feb 1, 2019",
"Feb 2, 2019",
"Feb 3, 2019",
"Feb 4, 2019",
"Feb 5, 2019",
"Feb 6, 2019",
"Feb 7, 2019",
"Feb 8, 2019",
"Feb 9, 2019",
"Feb 10, 2019",
"Feb 11, 2019",
"Feb 12, 2019",
"Feb 13, 2019",29.635
"Feb 14, 2019",
"Feb 15, 2019",
"Feb 16, 2019",
"Feb 17, 2019",29.955
"Feb 18, 2019",
"Feb 19, 2019",
"Feb 20, 2019",
"Feb 21, 2019",
"Feb 22, 2019",29.98
"Feb 23, 2019",
"Feb 24, 2019",29.99
"Feb 25, 2019",29.795
"Feb 26, 2019",
"Feb 27, 2019",
"Feb 28, 2019",28.35
"Mar 1, 2019",29.19
"Mar 2, 2019",
"Mar 3, 2019",
"Mar 4, 2019",
"Mar 5, 2019",
"Mar 6, 2019",
"Mar 7, 2019",
"Mar 8, 2019",
"Mar 9, 2019",
"Mar 10, 2019",
"Mar 11, 2019",
"Mar 12, 2019",
"Mar 13, 2019",
"Mar 14, 2019",
"Mar 15, 2019",
"Mar 16, 2019",
"Mar 17, 2019",
"Mar 18, 2019",
"Mar 19, 2019",
"Mar 20, 2019",
"Mar 21, 2019",30.24
"Mar 22, 2019",29.39
"Mar 23, 2019",
"Mar 24, 2019",28.735
"Mar 25, 2019",
"Mar 26, 2019",29.59
"Mar 27, 2019",
"Mar 28, 2019",
"Mar 29, 2019",30.045
"Mar 30, 2019",
"Mar 31, 2019",
"Apr 1, 2019",
"Apr 2, 2019",
"Apr 3, 2019",
"Apr 4, 2019",
"Apr 5, 2019",
"Apr 6, 2019",
"Apr 7, 2019",29.385
"Apr 8, 2019",
"Apr 9, 2019",
"Apr 10, 2019",30.395
"Apr 11, 2019",30.775
"Apr 12, 2019",
"Apr 13, 2019",
"Apr 14, 2019",
"Apr 15, 2019",
"Apr 16, 2019",
"Apr 17, 2019",29.095
"Apr 18, 2019",
"Apr 19, 2019",
"Apr 20, 2019",29.42
"Apr 21, 2019",
"Apr 22, 2019",29.655
"Apr 23, 2019",
"Apr 24, 2019",
"Apr 25, 2019",
"Apr 26, 2019",
"Apr 27, 2019",
"Apr 28, 2019",
"Apr 29, 2019",
"Apr 30, 2019",
"May 1, 2019",31.145
"May 2, 2019",
"May 3, 2019",
"May 4, 2019",
"May 5, 2019",
"May 6, 2019",
"May 7, 2019",
"May 8, 2019",29.71
"May 9, 2019",30.025
"May 10, 2019",
"May 11, 2019",
"May 12, 2019",
"May 13, 2019",29.395
"May 14, 2019",
"May 15, 2019",28.785
"May 16, 2019",29.07
"May 17, 2019",29.6
"May 18, 2019",29.23
"May 19, 2019",
"May 20, 2019",29.375
"May 21, 2019",
"May 22, 2019",
"May 23, 2019",
"May 24, 2019",
"May 25, 2019",
"May 26, 2019",27.685
"May 27, 2019",
"May 28, 2019",
"May 29, 2019",
"May 30, 2019",
"May 31, 2019",
"Jun 1, 2019",
"Jun 2, 2019",
"Jun 3, 2019",
"Jun 4, 2019",
"Jun 5, 2019",27.33
"Jun 6, 2019",
"Jun 7, 2019",
"Jun 8, 2019",
"Jun 9, 2019",
"Jun 10, 2019",
"Jun 11, 2019",
"Jun 12, 2019",
"Jun 13, 2019",27.535
"Jun 14, 2019",27.975
"Jun 15, 2019",
"Jun 16, 2019",
"Jun 17, 2019",29.13
"Jun 18, 2019",28.135
"Jun 19, 2019",27.435
"Jun 20, 2019",27.575
"Jun 21, 2019",27.74
"Jun 22, 2019",
"Jun 23, 2019",27.745
"Jun 24, 2019",
"Jun 25, 2019",23.83
"Jun 26, 2019",27.9
"Jun 27, 2019",26.925
"Jun 28, 2019",27.895
"Jun 29, 2019",
"Jun 30, 2019",
"Jul 1, 2019",
"Jul 2, 2019",
"Jul 3, 2019",
"Jul 4, 2019",26.65
"Jul 5, 2019",27.21
"Jul 6, 2019",27.34
"Jul 7, 2019",
"Jul 8, 2019",
"Jul 9, 2019",26.9
"Jul 10, 2019",
"Jul 11, 2019",
"Jul 12, 2019",27.73
"Jul 13, 2019",26.715
"Jul 14, 2019",26.355
"Jul 15, 2019",
"Jul 16, 2019",
"Jul 17, 2019",
"Jul 18, 2019",
"Jul 19, 2019",26.57
"Jul 20, 2019",26.57
"Jul 21, 2019",27.315
"Jul 22, 2019",
"Jul 23, 2019",26.33
"Jul 24, 2019",
"Jul 25, 2019",26.52
"Jul 26, 2019",
"Jul 27, 2019",
"Jul 28, 2019",
"Jul 29, 2019",27.01
"Jul 30, 2019",26.505
"Jul 31, 2019",27.18
"Aug 1, 2019",
"Aug 2, 2019",
"Aug 3, 2019",26.93
"Aug 4, 2019",27.26
"Aug 5, 2019",26.665
"Aug 6, 2019",
"Aug 7, 2019",
"Aug 8, 2019",26.265
"Aug 9, 2019",
"Aug 10, 2019",
"Aug 11, 2019",
"Aug 12, 2019",25.84
"Aug 13, 2019",26.555
"Aug 14, 2019",26.455
"Aug 15, 2019",26.145
"Aug 16, 2019",28.09
"Aug 17, 2019",26.905
"Aug 18, 2019",
"Aug 19, 2019",26.07
"Aug 20, 2019",27.34
"Aug 21, 2019",26.73
"Aug 22, 2019",
"Aug 23, 2019",26.75
"Aug 24, 2019",26.21
"Aug 25, 2019",
"Aug 26, 2019",26.88
"Aug 27, 2019",
"Aug 28, 2019",26.82
"Aug 29, 2019",
"Aug 30, 2019",
"Aug 31, 2019",25.845
"Sep 1, 2019",26.37
"Sep 2, 2019",26.82
"Sep 3, 2019",
"Sep 4, 2019",
"Sep 5, 2019",27.38
"Sep 6, 2019",26.72
"Sep 7, 2019",27.17
"Sep 8, 2019",27.56
"Sep 9, 2019",27.51
"Sep 10, 2019",
"Sep 11, 2019",26.505
"Sep 12, 2019",
"Sep 13, 2019",26.415
"Sep 14, 2019",
"Sep 15, 2019",26.445
"Sep 16, 2019",26.095
"Sep 17, 2019",26.19
"Sep 18, 2019",26.65
"Sep 19, 2019",
"Sep 20, 2019",26.675
"Sep 21, 2019",
"Sep 22, 2019",27.405
"Sep 23, 2019",
"Sep 24, 2019",
"Sep 25, 2019",26.955
"Sep 26, 2019",
"Sep 27, 2019",
"Sep 28, 2019",
"Sep 29, 2019",
"Sep 30, 2019",
"Oct 1, 2019",27.295
"Oct 2, 2019",
"Oct 3, 2019",
"Oct 4, 2019",
"Oct 5, 2019",
"Oct 6, 2019",26.425
"Oct 7, 2019",27.3
"Oct 8, 2019",27.6
"Oct 9, 2019",27.315
"Oct 10, 2019",27.925
"Oct 11, 2019",
"Oct 12, 2019",
"Oct 13, 2019",28.16
"Oct 14, 2019",
"Oct 15, 2019",28.2
"Oct 16, 2019",
"Oct 17, 2019",29.13
"Oct 18, 2019",29.045
"Oct 19, 2019",
"Oct 20, 2019",27.68
"Oct 21, 2019",
"Oct 22, 2019",28.45
"Oct 23, 2019",28.675
"Oct 24, 2019",27.975
"Oct 25, 2019",28.595
"Oct 26, 2019",28.905
"Oct 27, 2019",28.405
"Oct 28, 2019",
